,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
0,4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,7.216086686821121,POI3
1,4516547,2017-06-21 18:00:00.193,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
2,4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
3,4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.3716,-80.9773,7.716841105596059,POI3
4,4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.3716,-80.9773,7.716841105596059,POI3
5,4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
6,4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.961,-82.373,9.171676353874307,POI3
8,4516915,2017-06-21 15:00:01.310,CA,ON,London,43.0091,-81.1765,8.014496049185944,POI3
9,4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.4278,-80.5135,7.256138274028198,POI3
10,4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
11,4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.2825,-83.0372,10.009751820181007,POI3
13,4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.243970000000004,-82.98058,9.968796978443137,POI3
14,4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.7792,-81.1927,8.104758085780045,POI3
15,4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
16,4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
18,4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.5425,-80.2676,6.987708671833496,POI3
20,4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
21,4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.5215,-80.2338,6.961303958513593,POI3
22,4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
23,4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.4634,-80.5201,7.25227410059886,POI3
24,4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.4453,-80.4905,7.2290739372907895,POI3
25,4517607,2017-06-21 01:00:01.623,CA,ON,Chatham,42.4247,-82.1755,9.149538033453764,POI3
26,4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.3262,-82.9084,9.873740720690261,POI3
27,4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
28,4517809,2017-06-21 17:00:00.030,CA,ON,London,43.0346,-81.2554,8.081572651174827,POI3
29,4517811,2017-06-21 12:00:00.150,CA,ON,Cambridge,43.4194,-80.3255,7.078833418227686,POI3
30,4517905,2017-06-21 17:00:00.183,CA,ON,Windsor,42.2957,-82.9599,9.93234736688247,POI3
31,4517999,2017-06-21 12:00:00.643,CA,ON,Kitchener,43.4553,-80.4845,7.22045882882916,POI3
33,4518002,2017-06-21 01:00:00.937,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
34,4518061,2017-06-21 14:00:01.123,CA,ON,Waterloo,43.4678,-80.584,7.312332097068421,POI3
35,4518130,2017-06-21 00:00:01.333,CA,ON,London,43.0004,-81.2343,8.072115737687183,POI3
36,4518153,2017-06-21 09:00:01.353,CA,ON,Guelph,43.5425,-80.2676,6.987708671833496,POI3
38,4518212,2017-06-21 16:00:01.413,CA,ON,Kitchener,43.4278,-80.5135,7.256138274028198,POI3
39,4518264,2017-06-21 04:00:01.453,CA,ON,Cambridge,43.3842,-80.2968,7.062007384038695,POI3
40,4518329,2017-06-21 14:00:01.797,CA,ON,London,42.9399,-81.2709,8.125911567622241,POI3
41,4518395,2017-06-21 08:00:02.080,CA,ON,Windsor,42.2908,-82.987,9.95957051382322,POI3
42,4518430,2017-06-21 09:00:02.550,CA,ON,Brantford,43.1772,-80.248,7.081324071147788,POI3
43,4518434,2017-06-21 10:00:02.610,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
44,4518512,2017-06-21 01:00:02.797,CA,ON,London,42.9611,-81.2431,8.092824270279008,POI3
45,4518585,2017-06-21 06:00:02.827,CA,ON,Guelph,43.5776,-80.2201,6.932241785066144,POI3
46,4518676,2017-06-21 05:00:02.857,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
47,4518758,2017-06-21 13:00:02.867,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
48,4518814,2017-06-21 13:00:03.793,CA,ON,Cambridge,43.3842,-80.2968,7.062007384038695,POI3
49,4518832,2017-06-21 03:00:03.903,CA,ON,Kitchener,43.4397,-80.434,7.17659548097961,POI3
